CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
VSP112;macrofyten_2014;NL11;VSP112P;;M3;125872.92;482015.8317;;;lijnvormig;;MACFTGBD_MACFTNVO_VSP-ZUB-MlnpldrAgr-BC;;KRW_Onderzoek;;BODCHEM_HYBI;;Veen;46;2280-EAG-1;
VEC190;macrofyten_2014;NL11;;;M7b;130926;472350;;;lijnvormig;;historieMACFT_MACFTNVO;;KRW_Onderzoek;;HYBI;;Water;3000;3000-EAG-3;NL11_1_2
OBL116;macrofyten_2014;NL11;;;M10;112098;488324;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8030-EAG-1;
RLA101;macrofyten_2014;NL11;;;M6b;113082;488671;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
OBL119;macrofyten_2014;NL11;;;M10;112958;487773;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8030-EAG-1;
OBL120;macrofyten_2014;NL11;;;M10;113468;487272;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8030;8030-EAG-1;
OBL121;macrofyten_2014;NL11;;;M10;113569;487180;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8030-EAG-1;
RLA102;macrofyten_2014;NL11;;;M6b;112638;488649;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
RLA103;macrofyten_2014;NL11;;;M6b;112494;488679;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;521;8000-EAG-1;
RLA104;macrofyten_2014;NL11;;;M6b;113112;488656;;;lijnvormig;;MACFTNVO;;KRW;;HYBI;;Bebouwing;8000;8000-EAG-1;
