"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"77";"LVE011";131084;469494;"3320-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie LVE011.";0.185006754127932;0.0956828777810874
"78";"LVE190";131364;469967;"3320-EAG-2";"Ptot neemt toe in de tijd op meetlocatie LVE190.";8.16007912256616e-13;0.479714923580717
"79";"LVO003";132028;470021;"3310-EAG-2";"Ptot neemt toe in de tijd op meetlocatie LVO003.";0.000850292101220844;0.25287787119501
"80";"LVO005";132210;468173;"3320-EAG-4";"Ptot neemt toe in de tijd op meetlocatie LVO005.";0.000214422246758082;0.259584622727928
"81";"MAP004";113740;484459;"8060-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie MAP004.";0.165890940445847;0.0753233436716834
"82";"MBP005";133001;466536;"3300-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie MBP005.";0.554537343320596;0.0316498796120343
"83";"MBP006";134430;464823;"3300-EAG-6";"Ptot neemt af in de tijd op meetlocatie MBP006.";0.018070719991391;-0.126156645116339
"84";"MBP012";134244;465900;"3300-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie MBP012.";0.775614785972707;-0.0152541822161037
"85";"MBP014";131993;467179;"3300-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie MBP014.";0.539702181267695;0.0330883575416116
"86";"MBP016";133681;469332;"3300-EAG-8";"Ptot blijft gelijk in de tijd op meetlocatie MBP016.";0.548146100934803;0.0323464981508702
"87";"MBP041";130860;465792;"3300-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie MBP041.";0.914930702529642;-0.00666954552397972
"88";"MBP042";131103;464590;"3300-EAG-4";"Ptot neemt toe in de tijd op meetlocatie MBP042.";1.15175915205671e-06;0.293854467150387
"89";"MBP060";130036;468248;"3300-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie MBP060.";0.0522272351014912;-0.1133104029146
"90";"MPA001";122030;480526;"2110-EAG-1";"Ptot neemt af in de tijd op meetlocatie MPA001.";0.0108647167088907;-0.125776573557929
"91";"NAP010";136074;479898;"3100-EAG-2";"Ptot blijft gelijk in de tijd op meetlocatie NAP010.";0.625263056808546;-0.0262444099655582
"92";"NAP020";137305;477457;"3100-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie NAP020.";0.442085690968049;0.0402413019023558
"93";"NAP030";137117;478510;"3100-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie NAP030.";0.601587483702263;0.0279277684948961
"94";"NAP040";136415;478000;"3100-EAG-4";"Ptot blijft gelijk in de tijd op meetlocatie NAP040.";0.522968350219911;-0.0339835575616783
"95";"NAP083";137734;478214;"3100-EAG-3";"Ptot blijft gelijk in de tijd op meetlocatie NAP083.";0.635571671816071;0.0343751898715049
"96";"NAP195";135586;479605;"3100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NAP195.";0.00843488542088129;0.194762716564375
"97";"NBM002";134823.5359;481713.1221;"4100-EAG-1";"Ptot neemt af in de tijd op meetlocatie NBM002.";0.0277216761535298;-0.113621229771498
"98";"NBW003";118974;465428;"2630-EAG-1";"Ptot neemt af in de tijd op meetlocatie NBW003.";2.31769582232782e-09;-0.303999008087315
"99";"NBW007";116495;466810;"2620-EAG-1";"Ptot neemt af in de tijd op meetlocatie NBW007.";0.00347136828112509;-0.1452396656694
"100";"NIJ003";119349;493061;"6100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NIJ003.";6.34957733626101e-05;0.146747652861157
"101";"NIJ004";119349;493061;"6100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NIJ004.";0.013475659773754;0.172747709843778
"102";"NIJ013";119349;493061;"6100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NIJ013.";0.00102708445091026;0.229943133637921
"103";"NIJ014";119349;493061;"6100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NIJ014.";0.000117575908744269;0.268492237490424
"104";"NIJ015";119349;493061;"6100-EAG-1";"Ptot neemt toe in de tijd op meetlocatie NIJ015.";0.00289396324034237;0.203255133436605
"105";"NKP002";132810.9675;481020.19;"3110-EAG-5";"Ptot blijft gelijk in de tijd op meetlocatie NKP002.";0.41359243048587;-0.0418949523868566
"106";"NKP037";134291;478741;"3110-EAG-5";"Ptot neemt toe in de tijd op meetlocatie NKP037.";0.000179983225892141;0.248092450130634
"107";"NLP001";118149;473060;"2130-EAG-1";"Ptot neemt af in de tijd op meetlocatie NLP001.";1.34352818973373e-18;-0.45190170953908
"108";"NRZ001";132019;482775;"3010-EAG-1";"Ptot neemt af in de tijd op meetlocatie NRZ001.";0.0155914854440787;-0.332936292353152
"109";"NWS001";116414;484451;"8090-EAG-1";"Ptot blijft gelijk in de tijd op meetlocatie NWS001.";0.494260100748519;0.0370910113298841
"110";"NWS002";114782;484391;"8090-EAG-2";"Ptot neemt af in de tijd op meetlocatie NWS002.";0.00737339189177344;-0.158311722610013
"111";"OBL012";114562;488548;"8030-EAG-2";"Ptot neemt toe in de tijd op meetlocatie OBL012.";9.27119834600175e-06;0.216575860704678
