"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"57";"HBP050";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP050.";8.46885821933492e-15;-0.372005706839952
"58";"HBP105";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP105.";0.000169296596510688;-0.360437875964085
"59";"HBP110";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP110.";4.48595987284867e-06;-0.376489592033373
"60";"HBP120";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP120.";0.49070749953623;-0.058507572820106
"61";"HBP130";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP130.";0.72983657050891;0.0292125952387636
"62";"HBP135";123867;478177;"2250-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HBP135.";0.0343462573251094;-0.167838422830742
"63";"HGP006";129685;474543;"6480-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HGP006.";0.246064763265189;-0.077412316957349
"64";"HHB010";129131;471331;"3070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HHB010.";0.559661936976567;-0.0374683453501119
"65";"HHB014";129514;468708;"3070-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie HHB014.";0.000149988354846916;0.208840890406812
"66";"HKP001";130715;476018;"3210-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HKP001.";0.320180363061615;-0.0554295921219922
"67";"HMP001";132303;473420;"3220-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie HMP001.";0.181586540725652;-0.0794387488027963
"68";"HRB001";134691.9531;477916.7667;"4200-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie HRB001.";0.00679362773936396;-0.153424488165747
"69";"HSV001";127951;469731;"2340-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HSV001.";0.618853787212762;-0.0273556374957504
"70";"HSV008";128193;468302;"2380-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie HSV008.";0.109884273007275;-0.17002077283975
"71";"IJB001";128566;484893;"7050-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie IJB001.";4.77765091950386e-16;-0.497663038367861
"72";"IJM005";127676;485572;"";"CHLFa blijft gelijk in de tijd op meetlocatie IJM005.";0.00342586635620916;-0.18912931511833
"73";"KOP001";137955;479724;"4140-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie KOP001.";0.783099356959475;-0.0156016304513564
"74";"LOO003";137564;467553;"3300-EAG-17";"CHLFa blijft gelijk in de tijd op meetlocatie LOO003.";0.180010802455781;-0.0840858554906794
"75";"LVE011";131084;469494;"3320-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie LVE011.";0.235885052403364;-0.0839121553530692
"76";"LVE190";131364;469967;"3320-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie LVE190.";0.531834132988093;0.0416799059288943
"77";"LVO003";132028;470021;"3310-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie LVO003.";3.88014329176136e-05;0.328932683047683
"78";"LVO005";132210;468173;"3320-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie LVO005.";0.532239843658896;-0.0428840311736186
"79";"MAP004";113740;484459;"8060-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie MAP004.";0.254550568783231;-0.0707869384790046
"80";"MBP005";133001;466536;"3300-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie MBP005.";0.00253538851993369;-0.144347154574072
"81";"MBP006";134430;464823;"3300-EAG-6";"CHLFa blijft gelijk in de tijd op meetlocatie MBP006.";0.0061473510411465;-0.138040484844606
"82";"MBP012";134244;465900;"3300-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie MBP012.";0.122893919634528;-0.0736549998611423
"83";"MBP014";131993;467179;"3300-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie MBP014.";0.0116011917965152;-0.120568434488292
"84";"MBP016";133681;469332;"3300-EAG-8";"CHLFa blijft gelijk in de tijd op meetlocatie MBP016.";0.28132983195082;-0.0517792024099146
"85";"MBP041";130860;465792;"3300-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie MBP041.";0.0118315246794709;-0.14417100821199
"86";"MBP042";131103;464590;"3300-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie MBP042.";0.241810724883911;-0.0619844806668213
"87";"MBP060";130036;468248;"3300-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie MBP060.";0.973654501786905;-0.00212529193199626
"88";"MPA001";122030;480526;"2110-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie MPA001.";0.000367557140712111;0.19019829385812
"89";"NAP010";136074;479898;"3100-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie NAP010.";0.000978222906080639;-0.170277364596968
"90";"NAP020";137305;477457;"3100-EAG-5";"CHLFa blijft gelijk in de tijd op meetlocatie NAP020.";0.088256677306211;-0.083457015322998
"91";"NAP030";137117;478510;"3100-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie NAP030.";0.00490110584716835;-0.138951614728342
"92";"NAP040";136415;478000;"3100-EAG-4";"CHLFa blijft gelijk in de tijd op meetlocatie NAP040.";0.126703357647076;-0.0792171751748067
"93";"NAP083";137734;478214;"3100-EAG-3";"CHLFa blijft gelijk in de tijd op meetlocatie NAP083.";0.318514542252262;-0.0854230038861878
"94";"NAP195";135586;479605;"3100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NAP195.";0.0338690872338034;-0.149445164681116
"95";"NBM002";134823.5359;481713.1221;"4100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NBM002.";0.00528523641646257;-0.16020334932945
"96";"NBW003";118974;465428;"2630-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NBW003.";0.727798914220339;0.0181786499634276
"97";"NBW007";116495;466810;"2620-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NBW007.";0.00634750332650946;0.138662605128197
"98";"NIJ003";119349;493061;"6100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NIJ003.";2.25728165150034e-39;-0.461624856383682
"99";"NIJ004";119349;493061;"6100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NIJ004.";1.95460893046003e-08;-0.435276828333897
"100";"NIJ013";119349;493061;"6100-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie NIJ013.";0.00711597509327715;-0.224943853313092
