OBJECTID;GAFIDENT;OSMOMSCH;DGVIDENT;JAARCREA;OPPERVL;OMTREK;DGVTYPE;OPP_EZ_M2;OPP_OW_M2;OPP_TOT_M2;IWS_MEMO;SHAPE_AREA;SHAPE_LEN
3220;2000-EAG-1;Amstellandboezem;2000-DGV-1;0;715983;0;1008;71250;644733;715983;;0.00000000000;0.00000000000
3238;2280-EAG-1;;2280-DGV-1;0;408815;0;1008;119806;289009;408815;;0.00000000000;0.00000000000
3235;3100-EAG-4;Naardermeer;3100-DGV-10;0;4091;0;1009;4091;0;4091;;0.00000000000;0.00000000000
3237;3000-EAG-4;Vechtboezem;3000-DGV-4;0;205276;0;1008;20410;184866;205276;;0.00000000000;0.00000000000
3232;3100-EAG-1;Naardermeer;3100-DGV-1;0;11921;0;1009;11921;0;11921;;0.00000000000;0.00000000000
3234;3100-EAG-3;Naardermeer;3100-DGV-7;0;8069;0;1009;8069;0;8069;;0.00000000000;0.00000000000
2945;3310-EAG-2;Waterleidingplas;3310-DGV-2;0;11075;0;1001;11075;0;11075;;0.00000000000;0.00000000000
2929;3200-EAG-1;Spiegelplas;3200-DGV-2;0;52152;0;1001;52152;0;52152;;0.00000000000;0.00000000000
3842;3230-EAG-2;Wijde Blik;3230-DGV-6;0;36807;0;1001;36812;0;36812;;0.00000000000;0.00000000000
3843;3360-EAG-16;Molenpolder;3360-DGV-11;0;73761;0;1009;73770;0;73770;;0.00000000000;0.00000000000
3841;2500-EAG-5;Vinkeveense Plas (EAG 5 - Noordplas);2500-DGV-9;0;182687;0;1001;182706;0;182706;;0.00000000000;0.00000000000
2897;2250-EAG-1;Ouderkerkerplas;2250-DGV-2;0;15987;0;1001;15987;0;15987;;0.00000000000;0.00000000000
3147;2600-EAG-1;Vaarten Zevenhoven;2600-DGV-1;0;302169;0;1006;181677;120492;302169;;0.00000000000;0.00000000000
2900;2500-EAG-4;Vinkeveense Plas (EAG 4 - Zuidplas);2500-DGV-6;0;70216;0;1001;70216;0;70216;;0.00000000000;0.00000000000
3265;3201-EAG-1;Stichtsch Ankeveensche Plas;3201-DGV-1;0;53668;0;1009;53668;0;53668;;0.00000000000;0.00000000000
2898;2500-EAG-3;Vinkeveense Plas (EAG 3 - Kleine plas);2500-DGV-3;0;31486;0;1001;31486;0;31486;;0.00000000000;0.00000000000
3281;3230-EAG-1;Kortenhoefse Plas;3230-DGV-1;0;33555;0;1009;33555;0;33555;;0.00000000000;0.00000000000
4167;3000-EAG-2;Vechtboezem;3000-DGV-5;0;14810;0;1006;8474;6336;14810;;0.00000000000;0.00000000000
4164;3000-EAG-4;Vechtboezem;3000-DGV-9;0;13131;0;1007;4189;8942;13131;;0.00000000000;0.00000000000
4166;3000-EAG-3;Vechtboezem;3000-DGV-8;0;232012;0;1007;15384;216628;232012;;0.00000000000;0.00000000000
4165;3000-EAG-3;Vechtboezem;3000-DGV-7;0;71309;0;1006;39142;32167;71309;;0.00000000000;0.00000000000
4168;3000-EAG-2;Vechtboezem;3000-DGV-6;0;418736;0;1007;41443;377293;418736;;0.00000000000;0.00000000000
3426;1000-EAG-1;Amstellandboezem;1000-DGV-1;0;1294134;0;1008;154806;1139328;1294134;;0.00000000000;0.00000000000
3427;2000-EAG-6;Amstellandboezem;2000-DGV-12;0;1079190;0;1008;77260;1001930;1079190;;0.00000000000;0.00000000000
3430;2500-EAG-4;Vinkeveense Plas (EAG 4 - Zuidplas);2500-DGV-7;0;2826526;0;1002;0;2826526;2826526;;0.00000000000;0.00000000000
3429;2500-EAG-5;Vinkeveense Plas (EAG 5 - Noordplas);2500-DGV-11;0;3875796;0;1002;0;3875796;3875796;;0.00000000000;0.00000000000
3428;2500-EAG-5;Vinkeveense Plas (EAG 5 - Noordplas);2500-DGV-8;0;1671903;0;1003;0;1671903;1671903;;0.00000000000;0.00000000000
3431;3230-EAG-2;Wijde Blik;3230-DGV-5;0;1606746;0;1003;0;1606746;1606746;;0.00000000000;0.00000000000
3432;3230-EAG-2;Wijde Blik;3230-DGV-8;0;1167340;0;1002;0;1167340;1167340;;0.00000000000;0.00000000000
3433;3000-EAG-3;Vechtboezem;3000-DGV-3;0;1145617;0;1008;72954;1072663;1145617;;0.00000000000;0.00000000000
3434;3000-EAG-2;Vechtboezem;3000-DGV-2;0;1179520;0;1008;47922;1131598;1179520;;0.00000000000;0.00000000000
3435;3200-EAG-1;Spiegelplas;3200-DGV-1;0;1757577;0;1003;0;1757577;1757577;;0.00000000000;0.00000000000
3437;3300-EAG-3;Kievitsbuurt;3300-DGV-11;0;1126739;0;1010;0;1126739;1126739;;0.00000000000;0.00000000000
3436;3300-EAG-5;Stille Plas;3300-DGV-15;0;1818797;0;1010;0;1818797;1818797;;0.00000000000;0.00000000000
3438;3300-EAG-1;Loosdrechtse Plas;3300-DGV-2;0;9686080;0;1010;0;9686080;9686080;;0.00000000000;0.00000000000
3439;3320-EAG-4;Loenderveense Plas;3320-DGV-10;0;2143870;0;1010;0;2143870;2143870;;0.00000000000;0.00000000000
3184;2500-EAG-1;;2500-DGV-13;0;583334;0;1006;207049;376506;583555;;0.00000000000;0.00000000000
2984;2400-EAG-1;Ronde Hoep;2400-DGV-1;0;147576;0;1006;130191;17385;147576;;0.00000000000;0.00000000000
3169;3300-EAG-14;Ster en Zodden;3300-DGV-28;0;23807;0;1006;16633;7174;23807;;0.00000000000;0.00000000000
3140;2400-EAG-5;Ronde Hoep;2400-DGV-9;0;165490;0;1006;73979;91511;165490;;0.00000000000;0.00000000000
3166;3300-EAG-15;Ster en Zodden;3300-DGV-33;0;296202;0;1006;136903;159305;296208;;0.00000000000;0.00000000000
3149;2600-EAG-3;Vaarten Zevenhoven;2600-DGV-4;0;160254;0;1006;71410;88844;160254;;0.00000000000;0.00000000000
3168;3300-EAG-13;Ster en Zodden;3300-DGV-27;0;199808;0;1006;121555;78253;199808;;0.00000000000;0.00000000000
3139;2400-EAG-4;Ronde Hoep;2400-DGV-7;0;107402;0;1006;90236;17166;107402;;0.00000000000;0.00000000000
3181;2140-EAG-2;;2140-DGV-3;0;40468;0;1006;29866;10602;40468;;0.00000000000;0.00000000000
3161;4000-EAG-8;'s Gravelandse Vaartboezem;4000-DGV-17;0;180281;0;1006;62246;118035;180281;;0.00000000000;0.00000000000
3165;3360-EAG-19;Molenpolder Tienhoven;3360-DGV-16;0;13770;0;1006;11058;2712;13770;;0.00000000000;0.00000000000
3176;2505-EAG-1;;2505-DGV-1;0;674502;0;1006;263605;410897;674502;;0.00000000000;0.00000000000
3162;4210-EAG-1;Hollandsch Ankeveensche Plas;4210-DGV-1;0;26708;0;1006;5296;21412;26708;;0.00000000000;0.00000000000
3155;3360-EAG-12;Molenpolder Tienhoven;3360-DGV-6;0;42854;0;1006;20349;22505;42854;;0.00000000000;0.00000000000
3152;2600-EAG-6;Vaarten Zevenhoven;2600-DGV-7;0;35956;0;1006;22894;13062;35956;;0.00000000000;0.00000000000
3164;3302-EAG-1;Molenpolder Tienhoven;3302-DGV-4;0;166690;0;1006;121071;46193;167264;;0.00000000000;0.00000000000
3163;3302-EAG-2;Molenpolder Tienhoven;3302-DGV-7;0;4683;0;1006;3123;1560;4683;;0.00000000000;0.00000000000
3143;2501-EAG-2;Ronde Venen;2501-DGV-3;0;611005;0;1006;310974;300031;611005;;0.00000000000;0.00000000000
3153;2600-EAG-8;Vaarten Zevenhoven;2600-DGV-8;0;220583;0;1006;152124;68459;220583;;0.00000000000;0.00000000000
3171;2630-EAG-3;Westveen;2630-DGV-1;0;148783;0;1006;66255;82528;148783;;0.00000000000;0.00000000000
3172;3100-EAG-9;Naardermeer (EAG 9 - Kwelgebied noord);3100-DGV-16;0;16578;0;1006;9560;7018;16578;;0.00000000000;0.00000000000
3138;2400-EAG-3;Ronde Hoep;2400-DGV-5;0;93808;0;1006;78431;15377;93808;;0.00000000000;0.00000000000
3174;2140-EAG-4;;2140-DGV-8;0;135999;0;1006;62083;73916;135999;;0.00000000000;0.00000000000
3167;3300-EAG-16;Ster en Zodden;3300-DGV-36;0;72865;0;1006;59545;13320;72865;;0.00000000000;0.00000000000
3183;3320-EAG-3;;3320-DGV-11;0;80406;0;1006;47038;33368;80406;;0.00000000000;0.00000000000
3156;4000-EAG-1;'s Gravelandse Vaartboezem;4000-DGV-1;0;47600;0;1006;10358;37242;47600;;0.00000000000;0.00000000000
3185;6540-EAG-1;;6540-DGV-1;0;349315;0;1006;279954;69361;349315;;0.00000000000;0.00000000000
3173;2140-EAG-6;;2140-DGV-10;0;174241;0;1006;85533;88708;174241;;0.00000000000;0.00000000000
3177;2520-EAG-1;;2520-DGV-1;0;348814;0;1006;280778;68036;348814;;0.00000000000;0.00000000000
3158;4000-EAG-4;'s Gravelandse Vaartboezem;4000-DGV-10;0;9088;0;1006;4599;4489;9088;;0.00000000000;0.00000000000
3180;2140-EAG-1;;2140-DGV-1;0;130067;0;1006;68745;61322;130067;;0.00000000000;0.00000000000
3144;2510-EAG-1;Ronde Venen;2510-DGV-1;0;913148;0;1006;495212;417936;913148;;0.00000000000;0.00000000000
3141;2400-EAG-6;Ronde Hoep;2400-DGV-10;0;10222;0;1006;7127;3095;10222;;0.00000000000;0.00000000000
3186;6540-EAG-2;;6540-DGV-2;0;24232;0;1006;21405;2827;24232;;0.00000000000;0.00000000000
3142;2501-EAG-1;Ronde Venen;2501-DGV-1;0;298015;0;1006;157727;140288;298015;;0.00000000000;0.00000000000
3137;2400-EAG-2;Ronde Hoep;2400-DGV-3;0;187407;0;1006;159940;27467;187407;;0.00000000000;0.00000000000
3159;4000-EAG-6;'s Gravelandse Vaartboezem;4000-DGV-14;0;12218;0;1006;9372;2846;12218;;0.00000000000;0.00000000000
3148;2600-EAG-2;Vaarten Zevenhoven;2600-DGV-3;0;34173;0;1006;25451;8722;34173;;0.00000000000;0.00000000000
3182;3360-EAG-18;;3360-DGV-27;0;61665;0;1006;55355;6310;61665;;0.00000000000;0.00000000000
3175;2502-EAG-1;;2502-DGV-1;0;365551;0;1006;154845;210706;365551;;0.00000000000;0.00000000000
3151;2600-EAG-5;Vaarten Zevenhoven;2600-DGV-6;0;64790;0;1006;45517;19273;64790;;0.00000000000;0.00000000000
3157;4000-EAG-2;'s Gravelandse Vaartboezem;4000-DGV-3;0;38931;0;1006;11464;27467;38931;;0.00000000000;0.00000000000
3154;3300-EAG-9;Ster en Zodden;3300-DGV-23;0;117407;0;1006;61972;55435;117407;;0.00000000000;0.00000000000
3179;2530-EAG-1;;2530-DGV-1;0;433936;0;1006;340776;93160;433936;;0.00000000000;0.00000000000
3178;2625-EAG-1;;2625-DGV-1;0;263946;0;1006;150115;113831;263946;;0.00000000000;0.00000000000
3187;6540-EAG-3;;6540-DGV-3;0;78303;0;1006;40899;37404;78303;;0.00000000000;0.00000000000
3170;2120-EAG-1;Vaarten Westeramstel;2120-DGV-5;0;501828;0;1006;372388;129440;501828;;0.00000000000;0.00000000000
3160;4000-EAG-7;'s Gravelandse Vaartboezem;4000-DGV-15;0;9976;0;1006;7806;2170;9976;;0.00000000000;0.00000000000
3150;2600-EAG-4;Vaarten Zevenhoven;2600-DGV-5;0;32305;0;1006;20984;11321;32305;;0.00000000000;0.00000000000
3145;2510-EAG-3;Ronde Venen;2510-DGV-3;0;536412;0;1006;224200;312212;536412;;0.00000000000;0.00000000000
3146;2540-EAG-1;Groot Mijdrecht;2540-DGV-1;0;719219;0;1006;651626;67593;719219;;0.00000000000;0.00000000000
2865;3360-EAG-11;Grote Maarsseveense Plas;3360-DGV-3;0;405977;0;1003;0;405977;405977;;0.00000000000;0.00000000000
2881;2220-EAG-1;Gaasperplas;2220-DGV-2;0;11229;0;1001;11229;0;11229;;0.00000000000;0.00000000000
2824;2000-EAG-4;Abcoudermeer;2000-DGV-16;0;172988;0;1000;2465;170523;172988;;0.00000000000;0.00000000000
2823;2000-EAG-3;De Diemen;2000-DGV-15;0;252610;0;1000;7571;245039;252610;;0.00000000000;0.00000000000
2561;2000-EAG-1;Nieuwe Diep;2000-DGV-14;0;207869;0;1000;3166;204703;207869;;0.00000000000;0.00000000000
2837;6100-EAG-1;Noorder IJ-plas;6100-DGV-1;0;168843;0;1003;0;168843;168843;;0.00000000000;0.00000000000
2838;8070-EAG-1;Sloterplas;8070-DGV-1;0;530955;0;1003;0;530955;530955;;0.00000000000;0.00000000000
2839;2220-EAG-1;Gaasperplas;2220-DGV-1;0;399520;0;1003;0;399520;399520;;0.00000000000;0.00000000000
2860;2500-EAG-4;Vinkeveense Plas (EAG 4 - Zuidplas);2500-DGV-5;0;335506;0;1003;0;335506;335506;;0.00000000000;0.00000000000
2842;2250-EAG-1;Ouderkerkerplas;2250-DGV-1;0;438036;0;1003;0;438036;438036;;0.00000000000;0.00000000000
2861;2500-EAG-3;Vinkeveense Plas (EAG 3 - Kleine plas);2500-DGV-2;0;38822;0;1003;0;38822;38822;;0.00000000000;0.00000000000
2864;3310-EAG-2;Waterleidingplas;3310-DGV-1;0;253638;0;1003;0;253638;253638;;0.00000000000;0.00000000000
2866;3360-EAG-9;Kleine Maarsseveense Plas;3360-DGV-19;0;121379;0;1003;0;121379;121379;;0.00000000000;0.00000000000
